region,product_category,units_sold,unit_price,discount,marketing_spend,revenue
North,Electronics,150,299.99,0.05,5000,42748.5
South,Clothing,320,45.00,0.10,2000,12960.0
East,Electronics,210,199.99,0.08,4500,38557.7
West,Food,500,12.50,0.00,800,6250.0
North,Clothing,180,55.00,0.15,1500,8415.0
South,Electronics,95,399.99,0.05,6000,36099.1
East,Food,780,8.99,0.00,500,7012.2
West,Electronics,300,249.99,0.10,7000,67497.3
North,Food,420,15.00,0.05,900,5985.0
South,Clothing,260,65.00,0.12,1800,14820.0
East,Electronics,175,349.99,0.07,5500,57248.4
West,Clothing,400,40.00,0.08,1200,14720.0
North,Electronics,220,299.99,0.00,4800,65997.8
South,Food,650,10.00,0.05,600,6175.0
East,Clothing,300,50.00,0.10,1600,13500.0
West,Food,900,9.50,0.00,700,8550.0
North,Clothing,140,70.00,0.20,2200,7840.0
South,Electronics,130,499.99,0.05,8000,61748.8
East,Food,550,11.00,0.00,450,6050.0
West,Electronics,185,279.99,0.10,5200,46648.3
North,Food,310,13.50,0.00,750,4185.0
South,Clothing,390,42.00,0.08,1400,15037.2
East,Electronics,240,199.99,0.05,4200,45597.7
West,Clothing,280,58.00,0.15,1700,13804.0
North,Electronics,160,329.99,0.10,5500,47518.6
South,Food,720,9.00,0.00,550,6480.0
East,Clothing,350,48.00,0.12,1300,14784.0
West,Electronics,270,219.99,0.08,4600,54597.1
North,Food,480,14.00,0.05,850,6384.0
South,Electronics,200,379.99,0.05,6500,72198.1
East,Food,600,10.50,0.00,600,6300.0
West,Clothing,320,52.00,0.10,1500,14976.0
North,Electronics,190,289.99,0.00,4900,55098.1
South,Clothing,280,60.00,0.15,1900,14280.0
East,Electronics,155,449.99,0.07,7000,64724.6
West,Food,820,8.50,0.00,650,6970.0
North,Clothing,200,65.00,0.10,2000,11700.0
South,Food,580,11.50,0.05,700,6348.5
East,Electronics,195,259.99,0.08,4400,46678.2
West,Clothing,360,44.00,0.12,1100,13939.2
North,Electronics,230,319.99,0.05,5300,69797.7
South,Clothing,310,55.00,0.10,1700,15345.0
East,Food,670,9.50,0.00,520,6365.0
West,Electronics,245,239.99,0.10,5000,52797.8
North,Food,390,16.00,0.00,950,6240.0
South,Electronics,165,429.99,0.05,7200,67258.3
East,Clothing,290,51.00,0.12,1400,13111.2
West,Food,750,10.00,0.05,680,7125.0
North,Clothing,170,72.00,0.18,2300,10029.6
South,Electronics,145,349.99,0.08,6200,46598.6
