pclass,sex,age,sibsp,parch,fare,embarked,survived
3,male,22,1,0,7.25,S,0
1,female,38,1,0,71.28,C,1
3,female,26,0,0,7.92,S,1
1,female,35,1,0,53.10,S,1
3,male,35,0,0,8.05,S,0
3,male,,0,0,8.46,Q,0
1,male,54,0,0,51.86,S,0
3,male,2,3,1,21.08,S,0
3,female,27,0,2,11.13,S,1
2,female,14,1,0,30.07,C,1
3,female,4,1,1,16.70,S,1
1,female,58,0,0,26.55,S,1
3,male,20,0,0,8.05,S,0
3,male,39,1,5,31.27,S,0
3,female,14,0,0,7.85,S,0
2,female,55,0,0,16.00,S,1
3,male,2,4,1,29.13,Q,0
2,male,,0,0,13.00,S,1
3,female,31,1,0,18.00,S,0
3,female,,0,0,7.22,C,1
2,male,35,0,0,26.00,S,0
2,male,34,0,0,13.00,S,1
3,female,15,0,0,8.03,S,1
1,male,28,0,0,35.50,S,1
3,female,8,3,1,21.08,S,0
3,female,38,1,5,31.39,S,1
3,male,,0,0,7.23,C,0
1,male,19,3,2,263.00,C,0
3,female,,0,0,7.88,C,1
3,male,,0,0,7.90,Q,0
1,female,40,0,0,27.72,C,0
1,female,,1,0,146.52,C,1
3,male,,0,0,7.75,Q,0
2,male,66,0,0,10.50,S,0
3,male,28,0,0,7.90,Q,0
1,male,42,1,0,52.55,S,0
3,male,,0,0,8.05,S,0
3,male,21,0,0,8.65,S,0
3,female,18,2,0,18.00,S,1
3,male,14,1,0,11.24,S,0
3,female,40,1,0,9.48,S,0
2,female,27,1,0,21.00,S,1
3,male,,0,0,7.90,Q,0
2,female,3,1,2,41.58,C,1
3,female,19,0,0,7.85,S,1
3,female,,0,0,7.75,Q,1
3,male,,0,0,7.75,Q,0
1,female,17,4,2,69.55,C,1
3,female,,2,0,15.25,Q,1
3,female,13,0,0,9.84,S,1
1,male,16,0,1,86.50,C,0
1,female,15,1,0,69.55,C,1
1,male,55,0,0,50.50,S,0
3,male,26,0,0,7.90,Q,0
3,female,20,1,0,9.84,S,1
2,male,31,0,0,26.00,S,0
3,female,,0,0,9.84,S,1
3,male,35,0,0,7.05,S,0
3,male,,0,0,7.75,Q,0
3,male,32,0,0,7.86,S,0
1,female,18,1,0,53.10,S,1
3,male,27,0,0,8.66,S,0
2,female,19,0,0,10.50,S,1
1,male,37,1,0,53.10,S,1
2,female,,0,0,21.00,C,1
3,male,,0,0,7.23,C,0
3,male,47,0,0,9.00,S,0
2,male,14,1,2,46.90,S,0
2,female,14,0,0,26.00,S,1
3,male,29,0,0,7.90,Q,0
3,male,,0,0,7.75,Q,0
1,female,29,0,0,211.34,C,1
3,male,65,0,1,14.00,S,0
3,male,,1,0,7.75,Q,0
3,male,33,1,0,7.75,Q,0
2,male,20,0,0,13.00,S,0
3,male,47,0,0,9.00,S,0
3,female,29,1,0,10.46,S,1
1,male,25,1,0,91.08,C,0
3,male,,0,0,8.05,S,0
3,female,23,0,0,7.92,S,1
3,male,19,0,0,7.90,Q,0
2,male,37,0,1,29.70,C,0
1,female,16,0,1,86.50,C,1
2,male,24,0,0,13.00,S,0
1,male,22,0,1,66.60,S,0
2,female,24,1,0,27.75,S,1
3,male,19,3,2,25.47,S,0
3,male,,0,0,7.90,S,0
3,female,,0,0,7.23,C,0
3,male,32,0,0,7.92,Q,0
2,female,25,1,0,30.07,C,1
3,male,33,0,0,7.90,Q,0
2,female,22,0,0,10.50,S,1
2,female,28,1,0,24.00,C,1
3,female,,0,0,7.75,Q,1
3,female,28,0,0,7.90,Q,0
1,female,39,1,1,83.16,S,1
